"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"216333_x_at"	3.31568942673978e-46	6.06436109143078e-51	-22.5333443663027	105.355884038341	-2.62624964594505	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"206093_x_at"	1.14797643805776e-45	4.19927366459173e-50	-22.1705418125878	103.444804145009	-2.54483652036923	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"213451_x_at"	1.42322787604887e-45	7.80920645294302e-50	-22.0548791757435	102.831962419594	-2.71643911307253	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"210081_at"	2.78145741731505e-45	2.03490254581805e-49	-21.8769393377765	101.885757127289	-4.5733471756945	"AGER"	"advanced glycosylation end-product specific receptor"
"209614_at"	3.74153041197305e-45	3.42160988749251e-49	-21.7806987419891	101.372281331895	-3.04639334290989	"ADH1B"	"alcohol dehydrogenase 1B (class I), beta polypeptide"
"235649_at"	5.3715696243483e-45	5.89472661108181e-49	-21.680192056974	100.834762072225	-3.69295566428571	"ADAMTS8"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"
"232122_s_at"	6.04331811513933e-45	8.44162501195168e-49	-21.6139658537121	100.479861888957	-3.76246518025055	"VEPH1"	"ventricular zone expressed PH domain containing 1"
"220677_s_at"	6.04331811513933e-45	9.49095813915718e-49	-21.5923810895249	100.364068170838	-2.89139511073626	"ADAMTS8"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"
"217046_s_at"	6.04331811513933e-45	9.94784874920054e-49	-21.5837224396047	100.317600955735	-3.24241024373846	"AGER"	"advanced glycosylation end-product specific receptor"
"220003_at"	6.34944883589207e-45	1.16130751456645e-48	-21.5552311816181	100.164632092575	-2.24479175651868	"LRRC36"	"leucine rich repeat containing 36"
"206069_s_at"	9.22428826502216e-45	1.8564631733156e-48	-21.4689887345753	99.7009567562515	-2.87607030986373	"ACADL"	"acyl-CoA dehydrogenase, long chain"
"238222_at"	9.22428826502216e-45	2.02453514732997e-48	-21.4530750878384	99.6152929273353	-4.25224584546593	"GKN2"	"gastrokine 2"
"207547_s_at"	1.78697795122977e-44	4.24887304361901e-48	-21.3171954740845	98.8825097876484	-2.95136567794066	"FAM107A"	"family with sequence similarity 107 member A"
"206209_s_at"	1.39450747159211e-43	3.57075529991579e-47	-20.929362947072	96.7778106693153	-3.75836262475604	"CA4"	"carbonic anhydrase 4"
"236154_at"	1.56250217028844e-43	4.286700055661e-47	-20.8962296079381	96.5970987545963	-2.09899447401538	"QKI"	"QKI, KH domain containing RNA binding"
"215918_s_at"	2.69102614626445e-43	7.87497363332989e-47	-20.7861396031913	95.9956392675594	-2.5100488763011	"SPTBN1"	"spectrin beta, non-erythrocytic 1"
"236065_at"	7.36269571605573e-43	2.28926981569177e-46	-20.5936346997226	94.9401554895579	-2.9559490979011	""	""
"228885_at"	1.60729332256116e-42	5.2915006504071e-46	-20.4430732189143	94.1113110676788	-4.22930511929011	"MAMDC2"	"MAM domain containing 2"
"208609_s_at"	1.75916376877563e-42	6.11323486177172e-46	-20.4171849576448	93.9685013529154	-2.15011083908791	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"206742_at"	2.08695086177785e-42	7.63402235675481e-46	-20.3773727796847	93.7487135733401	-3.83236031494725	"PIR-FIGF///FIGF"	"PIR-FIGF readthrough///c-fos induced growth factor"
"230132_at"	6.34553058276604e-42	2.43724082739985e-45	-20.1699203058491	92.6001512745141	-2.20827094602857	"PCAT19"	"prostate cancer associated transcript 19 (non-protein coding)"
"219866_at"	2.31338038856095e-41	9.30852648346427e-45	-19.931625584521	91.27402202975	-3.43945258338461	"CLIC5"	"chloride intracellular channel 5"
"203812_at"	2.72769533433952e-41	1.14745299844186e-44	-19.8945384180901	91.0669762238331	-1.95371718093407	"SLIT3"	"slit guidance ligand 3"
"1553243_at"	5.21507472443455e-41	2.28919603816057e-44	-19.7723125302274	90.3833869654697	-1.71751703328132	"ITIH5"	"inter-alpha-trypsin inhibitor heavy chain family member 5"
"236383_at"	6.30491065759179e-41	2.88290382148687e-44	-19.7315765552297	90.1551348562745	-2.47699022244615	""	""
"226397_s_at"	1.97275939230419e-40	9.48809379222598e-44	-19.5217149477642	88.9758994294784	-2.0358938300022	"PHACTR1"	"phosphatase and actin regulator 1"
"209469_at"	1.97275939230419e-40	1.00385387596463e-43	-19.5118037363898	88.9200693207898	-3.5894469121033	"GPM6A"	"glycoprotein M6A"
"206702_at"	1.97275939230419e-40	1.0614916302103e-43	-19.5019939552625	88.8647983464373	-2.99187235550549	"TEK"	"TEK receptor tyrosine kinase"
"209904_at"	1.97275939230419e-40	1.07478880601207e-43	-19.499806785695	88.8524735805972	-3.64652004185934	"TNNC1"	"troponin C1, slow skeletal and cardiac type"
"235670_at"	1.97275939230419e-40	1.0824468544879e-43	-19.4985594542498	88.8454445600273	-2.85108045678461	"STX11"	"syntaxin 11"
"230670_at"	2.16023997313759e-40	1.22482741961162e-43	-19.4768546854437	88.723101368043	-2.47243930814945	"IGSF10"	"immunoglobulin superfamily member 10"
"227874_at"	3.2868590504326e-40	1.92372180363682e-43	-19.3976468298502	88.2761264087889	-3.37444986236264	"EMCN"	"endomucin"
"1560359_at"	3.9133024947316e-40	2.36193840559932e-43	-19.3616860687248	88.0729365811273	-2.31989116501319	"ITGA1"	"integrin subunit alpha 1"
"209470_s_at"	6.55379284312628e-40	4.07551818319696e-43	-19.2662307514125	87.5327946474237	-3.88641017138901	"GPM6A"	"glycoprotein M6A"
"230360_at"	6.57075098027745e-40	4.2062420541328e-43	-19.2607122530469	87.5015327717534	-3.13521721402198	"GLDN"	"gliomedin"
"226028_at"	9.86455042539944e-40	6.53362026523254e-43	-19.1838030193285	87.065450470381	-2.59050818894286	"ROBO4"	"roundabout guidance receptor 4"
"213900_at"	9.86455042539944e-40	6.67559882468732e-43	-19.1800519284219	87.0441625014296	-2.6971676707978	"FAM189A2"	"family with sequence similarity 189 member A2"
"204931_at"	1.36478294668355e-39	9.48545989464562e-43	-19.1187965926044	86.6962809143745	-3.4425288018967	"TCF21"	"transcription factor 21"
"206701_x_at"	1.41980477006492e-39	1.01275511719309e-42	-19.1073844766775	86.6314173751142	-3.03542165714505	"EDNRB"	"endothelin receptor type B"
"205866_at"	1.43140653698245e-39	1.04721100099311e-42	-19.1015564343626	86.5982860076375	-4.13376092952967	"FCN3"	"ficolin 3"
"243818_at"	1.49748217510487e-39	1.1229404513818e-42	-19.0893960578118	86.529142818401	-2.86970106781319	"SFTA1P"	"surfactant associated 1, pseudogene"
"223816_at"	1.68114651840988e-39	1.29141570687179e-42	-19.0650589580057	86.3907081107186	-2.52020774137143	"SLC46A2"	"solute carrier family 46 member 2"
"235568_at"	3.37144342255655e-39	2.65152386227584e-42	-18.9400104177706	85.6782423892265	-3.81853299203077	"MCEMP1"	"mast cell expressed membrane protein 1"
"235915_at"	4.08945495800882e-39	3.33521104315687e-42	-18.9002040809871	85.4510378485553	-2.30403754081978	""	""
"205326_at"	4.08945495800882e-39	3.3658065498015e-42	-18.898620220086	85.4419935082921	-2.40760370135384	"RAMP3"	"receptor (G protein-coupled) activity modifying protein 3"
"235108_at"	4.11814323588737e-39	3.48911316879818e-42	-18.8923801091627	85.4063575038714	-2.41763740088132	"KCNK3"	"potassium two pore domain channel subfamily K member 3"
"228568_at"	4.11814323588737e-39	3.61394882086035e-42	-18.8862841373984	85.3715399938475	-2.61402668903736	"MYZAP"	"myocardial zonula adherens protein"
"206159_at"	4.11814323588737e-39	3.61537952121799e-42	-18.8862155052115	85.3711479707914	-2.70417938441758	"GDF10"	"growth differentiation factor 10"
"1556364_at"	4.15600481262951e-39	3.72463165649467e-42	-18.8810534987381	85.3416612194492	-1.87364717165275	"ADAMTS9-AS2"	"ADAMTS9 antisense RNA 2"
"228434_at"	4.51725199157555e-39	4.13100319302748e-42	-18.8631029471243	85.2390972372838	-3.31764141148351	"BTNL9"	"butyrophilin like 9"
"206208_at"	5.94568321331076e-39	5.54604195480291e-42	-18.8120778067175	84.9473376222603	-2.36657327898681	"CA4"	"carbonic anhydrase 4"
"229127_at"	6.18865623534968e-39	5.89355695918757e-42	-18.8015569498904	84.8871398292273	-2.53374252561538	"JAM2"	"junctional adhesion molecule 2"
"209074_s_at"	6.18865623534968e-39	5.99906320024752e-42	-18.7984857714674	84.8695647158333	-3.83020762467692	"FAM107A"	"family with sequence similarity 107 member A"
"222738_at"	6.27235270553635e-39	6.20091779938761e-42	-18.7927581766476	84.8367848969605	-2.27676914976703	"WWC2///CLDN22"	"WW and C2 domain containing 2///claudin 22"
"232578_at"	6.27235270553635e-39	6.30963692372198e-42	-18.7897503425793	84.8195690258322	-4.5945862237956	"CLDN18"	"claudin 18"
"206030_at"	6.87382188458061e-39	7.04040284474649e-42	-18.7707900910928	84.7110209975063	-2.05115834145055	"ASPA"	"aspartoacylase"
"243172_at"	7.35114489220401e-39	7.6637450179356e-42	-18.7561174330857	84.6269891771667	-2.14719050236703	""	""
"1556579_s_at"	9.27708619299423e-39	9.84126198799571e-42	-18.7128904853392	84.3792700031978	-2.7541874512022	"IGSF10"	"immunoglobulin superfamily member 10"
"229308_at"	9.58057692007604e-39	1.0338436914211e-41	-18.7043761846691	84.3304503137234	-3.13643544378901	"ANKRD29"	"ankyrin repeat domain 29"
"226056_at"	1.34408922474417e-38	1.47499503401281e-41	-18.6430276840554	83.9784244181436	-1.89602475156483	"ARHGAP31"	"Rho GTPase activating protein 31"
"206311_s_at"	1.59181871152949e-38	1.7759660064618e-41	-18.6110025735565	83.7944768130823	-3.1066523785033	"PLA2G1B"	"phospholipase A2 group IB"
"AFFX-HUMGAPDH/M33197_3_at"	1.62465848405486e-38	1.85906685654183e-41	18.6031189429497	83.7491751282049	1.07340555997802	"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"
"236936_at"	1.62465848405486e-38	1.8720344672237e-41	-18.6019207204998	83.7422891204352	-2.75746323768571	""	""
"217177_s_at"	2.07339992459947e-38	2.42702506034506e-41	-18.5571854961938	83.4850768395199	-1.8599173345011	"PTPRB"	"protein tyrosine phosphatase, receptor type B"
"228540_at"	2.47100361770339e-38	2.93763575950106e-41	-18.5243135903711	83.2959189244552	-1.63267480384835	"QKI"	"QKI, KH domain containing RNA binding"
"238178_at"	2.78887501693208e-38	3.36654323031582e-41	-18.5008650344569	83.160906225783	-2.51348374491209	""	""
"239349_at"	3.57551299636416e-38	4.44530568254135e-41	-18.4530737724818	82.8855253955297	-2.68272805044176	"C1QTNF7"	"C1q and tumor necrosis factor related protein 7"
"227178_at"	3.57551299636416e-38	4.44691145409717e-41	-18.4530117064341	82.8851675806896	-2.1863659255956	"CELF2"	"CUGBP, Elav-like family member 2"
"243813_at"	3.60925232499248e-38	4.55488633606733e-41	-18.4488890594984	82.8613992032794	-2.45198513836923	"LINC00968"	"long intergenic non-protein coding RNA 968"
"222520_s_at"	3.82244649911527e-38	4.89385011317913e-41	-18.4365564536084	82.7902854738074	-2.45623538834725	"IFT57"	"intraflagellar transport 57"
"226992_at"	4.27541807390226e-38	5.55198323268515e-41	-18.4148851721286	82.6652772819044	-2.94836568898022	"NOSTRIN"	"nitric oxide synthase trafficking"
"204273_at"	4.41139951692001e-38	5.80925039265186e-41	-18.407107652502	82.6203997117336	-3.73970218556263	"EDNRB"	"endothelin receptor type B"
"215454_x_at"	5.82461809146993e-38	7.77681062052685e-41	-18.3570522193639	82.3313964227831	-3.91636018785934	"SFTPC"	"surfactant protein C"
"220170_at"	7.88758039203306e-38	1.06754631734878e-40	-18.3027459060522	82.0175076589283	-2.43999382688571	"FHL5"	"four and a half LIM domains 5"
"212975_at"	1.01718635038523e-37	1.39531735306616e-40	-18.256892940568	81.7522023179523	-1.64618996333846	"DENND3"	"DENN domain containing 3"
"223229_at"	1.16853110805353e-37	1.62429564173879e-40	18.2308903616484	81.6016390511496	2.86611339202417	"UBE2T"	"ubiquitin conjugating enzyme E2 T"
"213453_x_at"	1.28001333641254e-37	1.80267081671267e-40	18.2130680198592	81.4983951124997	1.25041202424835	"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"
"206068_s_at"	1.7078200256513e-37	2.43639619571653e-40	-18.1615755693866	81.1998881262402	-2.78990787283077	"ACADL"	"acyl-CoA dehydrogenase, long chain"
"205507_at"	1.82993581754926e-37	2.64407735869028e-40	-18.1476023641884	81.1188293253851	-1.6551061107033	"ARHGEF15"	"Rho guanine nucleotide exchange factor 15"
"233392_at"	2.0600115359276e-37	3.01419154776787e-40	-18.1252318429472	80.9890090121031	-2.07455810566813	""	""
"232404_at"	2.08892124456087e-37	3.09973626687238e-40	-18.1204544933451	80.9612774231654	-1.67824943265275	"SHROOM4"	"shroom family member 4"
"228770_at"	2.08892124456087e-37	3.13290428996783e-40	-18.1186376861607	80.9507304951524	-1.90869219805494	"GPR146"	"G protein-coupled receptor 146"
"212581_x_at"	2.10811856518753e-37	3.20025314879863e-40	18.1150072401419	80.929653853213	1.12939240061758	"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"
"213974_at"	2.38196653437265e-37	3.65953706241066e-40	-18.0921228381227	80.7967617563252	-2.52615167972527	"ADAMTSL3"	"ADAMTS like 3"
"229641_at"	2.84337515789466e-37	4.44611487025938e-40	-18.0589181582926	80.6038279123446	-2.61243662247253	"CCBE1"	"collagen and calcium binding EGF domains 1"
"227779_at"	2.84337515789466e-37	4.4724328043702e-40	-18.0579119494595	80.5979793489366	-1.72395130948132	"ECSCR"	"endothelial cell surface expressed chemotaxis and apoptosis regulator"
"236600_at"	3.91783980895972e-37	6.23414839285772e-40	-18.0013228646463	80.2688633586382	-1.51953760510989	"SPG20"	"spastic paraplegia 20 (Troyer syndrome)"
"231947_at"	4.07905613516392e-37	6.56528468028211e-40	-17.9925100727916	80.2175749669021	-2.08290626812747	"MYCT1"	"myc target 1"
