"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"217046_s_at"	4.78298708927492e-43	1.29887200195477e-47	-28.8245629186037	97.846616416767	-4.21091376328503	"AGER"	"advanced glycosylation end-product specific receptor"
"210081_at"	4.78298708927492e-43	2.76068162996641e-47	-28.5614855672087	97.1102329274385	-5.70259993719807	"AGER"	"advanced glycosylation end-product specific receptor"
"209904_at"	4.78298708927492e-43	3.20843305653158e-47	-28.5092724726807	96.9633904399183	-4.46387068115942	"TNNC1"	"troponin C1, slow skeletal and cardiac type"
"209470_s_at"	4.78298708927492e-43	3.49921323403743e-47	-28.4791700857518	96.8786267005104	-4.7106255120773	"GPM6A"	"glycoprotein M6A"
"201291_s_at"	1.13988483868907e-42	1.04241869107368e-46	28.1025747368658	95.8116733010696	4.66155299516908	"TOP2A"	"topoisomerase (DNA) II alpha"
"235649_at"	1.75849502467911e-42	1.92976134395513e-46	-27.8918633983482	95.2093787988945	-4.15451431884059	"ADAMTS8"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"
"204931_at"	6.26395615134524e-41	8.01969694730986e-45	-26.6430622213024	91.559295844172	-3.92404020289855	"TCF21"	"transcription factor 21"
"201292_at"	6.60255511291237e-41	9.66080309159561e-45	26.581847360808	91.3767469907609	4.43886558937197	"TOP2A"	"topoisomerase (DNA) II alpha"
"202870_s_at"	1.22646838843917e-40	2.01887800566119e-44	26.340571257433	90.6538592599605	4.12956444927535	"CDC20"	"cell division cycle 20"
"219918_s_at"	1.60813043819146e-40	2.94125365924365e-44	26.218042961909	90.2846754074361	3.95787596135265	"ASPM"	"abnormal spindle microtubule assembly"
"225655_at"	1.80245791475937e-40	3.62634422722508e-44	26.1500519966745	90.0792078392475	3.50833233333332	"UHRF1"	"ubiquitin like with PHD and ring finger domains 1"
"210052_s_at"	2.3799795833402e-40	5.22354915410743e-44	26.0318714499275	89.7210316768326	4.03654829468598	"TPX2"	"TPX2, microtubule nucleation factor"
"218723_s_at"	3.26246330106284e-40	7.75711438752938e-44	-25.9042822581324	89.3328559480312	-2.93119869565218	"RGCC"	"regulator of cell cycle"
"209469_at"	3.60353970693655e-40	9.22717071735011e-44	-25.8484388307106	89.1624715408222	-3.89336738647344	"GPM6A"	"glycoprotein M6A"
"219866_at"	4.25780874393987e-40	1.16812311219201e-43	-25.7726989007536	88.9309049869131	-4.85109702898551	"CLIC5"	"chloride intracellular channel 5"
"222608_s_at"	4.9733717700086e-40	1.45539914623023e-43	25.7022335192335	88.7149714956976	4.21207	"ANLN"	"anillin actin binding protein"
"206742_at"	8.89370410122281e-40	2.76530351569799e-43	-25.4973706891099	88.0844766314734	-4.43243838647344	"PIR-FIGF///FIGF"	"PIR-FIGF readthrough///c-fos induced growth factor"
"226397_s_at"	1.23143068366473e-39	4.05409278572751e-43	-25.3758551003247	87.7085744639501	-2.68632126570049	"PHACTR1"	"phosphatase and actin regulator 1"
"226992_at"	2.53547368914033e-39	8.81097395403133e-43	-25.1306350899499	86.9456069420673	-3.62632303864735	"NOSTRIN"	"nitric oxide synthase trafficking"
"229529_at"	3.27444431270344e-39	1.19778484232408e-42	-25.0341292813009	86.6437208805133	-2.4707337294686	"TCF21"	"transcription factor 21"
"232578_at"	1.25938005778212e-38	4.83712505046631e-42	-24.5989151910397	85.2707865491601	-6.40863350724638	"CLDN18"	"claudin 18"
"214710_s_at"	1.87493444660236e-38	7.54431784641097e-42	24.4615191659678	84.8334013723501	3.90655112560386	"CCNB1"	"cyclin B1"
"222520_s_at"	1.21999766375928e-37	5.13213466236186e-41	-23.8753009296103	82.9455581854618	-2.37106371014493	"IFT57"	"intraflagellar transport 57"
"204825_at"	1.25763023255393e-37	5.73051447973256e-41	23.8418971891522	82.8369158973107	3.42168021739129	"MELK"	"maternal embryonic leucine zipper kinase"
"1554408_a_at"	1.25763023255393e-37	5.75048117308609e-41	23.8408442262863	82.8334893500142	3.00602341545893	"TK1"	"thymidine kinase 1"
