GenSymbol	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12
0610005C13Rik	6.76200325	6.650764559	6.973886748	6.546760214	6.57667027	6.899151456	7.404664742	7.476778601	7.585638606	7.044623621	7.060231169	6.919852515	6.275778117	5.916646223	6.615414826	6.615129342	6.533189545	6.735210751	7.2338018	7.450592681	7.402116721	6.4348467	6.543099892	6.388322157
0610007P14Rik	7.303013542	6.456196686	6.835886188	6.719799494	6.883730774	6.647731829	6.845063452	6.664440173	6.765813181	7.073884485	6.908320559	6.990580528	6.399410384	6.480756279	5.980155576	7.09386648	6.511770045	6.17671571	6.463275865	6.276230509	6.261143387	6.573073025	6.768687195	6.572312172
0610011F06Rik	7.312483664	7.345316531	7.408168371	7.384593824	6.904965719	7.270463534	7.305286574	7.135945228	7.259592632	7.09034535	7.255519616	7.360206232	7.392429056	7.002758769	7.806981319	8.111672994	7.489952296	7.63028897	7.700460526	7.53806474	7.629014122	7.581426574	7.684348888	7.58771752
0610031J06Rik	5.248861166	5.209394877	5.444471611	5.443911601	5.2409592	5.510373332	5.602661753	5.227390678	5.484721409	5.495532083	5.701133155	5.614056067	4.927133197	4.720459064	5.252616238	4.805065404	4.900765393	5.051889743	5.306291408	5.287416885	5.344089921	5.495148293	5.403550643	5.268157386
1110012L19Rik	3.735792928	3.622215853	3.229294124	3.751420872	3.460873593	3.379537791	3.668062378	3.900519071	3.596541626	3.837368067	3.770321635	3.664528351	3.294711902	2.88980838	3.040006909	3.634848796	3.471499642	3.16801136	3.466392198	3.258062074	3.048319899	2.800353254	3.362666256	3.291771509
1110028F11Rik	-1.311051602	-0.866773186	-0.623093991	-0.799026166	-0.909463591	-1.123889767	-1.724792658	-1.868184022	-2.376784885	-1.605863456	-1.323068274	-1.12150849	-0.477407861	-0.287585586	-0.080039111	0.357709637	-0.088745607	-0.543782611	-0.671898854	-0.971413875	-1.068646739	-0.062262405	-0.094165459	-0.208527633
1110038F14Rik	2.732692502	1.95209869	2.464297091	2.324848038	1.880168295	2.499215746	2.11463688	2.112773517	2.480420242	2.163910872	2.423188201	2.26327784	1.84297481	1.619849627	1.69684849	2.023617312	1.923586583	2.27320852	1.625036646	1.993330175	1.82428314	2.040720629	1.621768232	1.867240185
1110051M20Rik	-0.441618718	-0.519077283	-0.395351714	-0.243582983	-0.643754754	-0.395723676	-0.098514813	-0.410090813	-0.567483087	-0.255964661	-0.253731956	-0.028757754	-1.05797126	-1.091488342	-1.588499994	-0.868581727	-1.135500434	-0.908309643	-0.557301684	-0.666180152	-0.931626357	-0.769265759	-0.973321734	-0.854737318
1110054M08Rik	3.87743016	4.141661668	4.249983786	3.688191551	3.202967737	4.250423493	4.189737599	4.474260806	4.567533279	4.247312339	4.613838075	4.775461477	3.320439909	2.951324818	4.064719056	3.792334806	3.542716172	3.560458181	3.619013837	3.798662312	3.720530203	3.874610102	3.318964643	3.92764998
1110057K04Rik	3.856228798	3.420185937	3.820005318	3.754214087	3.962437971	3.866364022	3.553434234	3.534310665	3.638421433	3.691299652	3.65169466	3.614120869	4.359022101	4.525592844	4.097644504	3.840120773	4.120410005	4.122432526	4.077379741	4.213603911	4.162177804	4.166691346	4.265939411	3.936807519
1110059G10Rik	1.559276433	1.14868035	1.26076037	1.167865287	1.282380495	1.105490354	1.554230282	1.530155663	1.263010361	1.63559189	1.568649923	1.550009168	1.672561119	1.537156886	1.837830243	1.726404011	1.73320247	1.46185855	1.706937168	1.792330641	1.478454153	2.211840804	2.148839765	1.973456988
1500017E21Rik	5.284702897	5.578428549	4.616534141	5.129452008	4.779186165	5.547665748	5.297169402	5.528849455	5.122374542	4.932760422	4.329955956	4.882476763	6.289993035	6.429132195	6.404513179	6.530780862	6.658725619	6.009297899	6.309452707	5.939915314	5.81997978	5.883557282	5.650672665	6.489523669
1700024P16Rik	0.196002647	-0.181733505	0.011080518	0.419592823	0.232366049	0.106937875	-0.507753006	-0.589910765	-1.063092626	0.565704399	0.593516319	0.634416696	1.111612281	1.39275154	0.75284277	1.010128152	1.29166249	0.607219037	0.399072632	0.143759108	0.382191348	0.172628322	0.385585653	0.493503877
1700025G04Rik	-1.633429908	-1.590453736	-1.574897385	-1.527133798	-1.83887852	-1.496154676	-1.447052457	-2.123591106	-2.109377432	-1.649099986	-1.481344012	-1.367836035	-2.160104892	-1.926870781	-2.420379578	-2.556461242	-2.128288802	-2.060613926	-1.987314056	-2.150913469	-2.091737381	-2.178208164	-2.226996185	-1.823912163
1700028E10Rik	-0.538167637	-0.834956351	-1.570978642	-2.363924375	-1.191827508	-1.221152237	-1.586865227	-0.552621816	-1.35814327	-1.11855464	-1.389110992	-0.926481359	-0.356407905	-0.79427219	-0.673329203	-0.201599381	-0.07289241	-0.492790927	-1.509762601	-1.228668793	-0.890535129	-0.281535347	-0.631399253	-0.459629462
1700029J07Rik	-3.830789213	-2.488365992	-2.262095229	-3.87063626	-2.529597454	-3.46680906	-1.805443896	-2.160182271	-1.714410761	-2.369087624	-2.355010413	-2.496337824	-3.288431088	-3.125107054	-3.072919724	-3.193700692	-3.734305794	-3.412850877	-3.974489206	-3.817631106	-3.337701879	-2.968785505	-4.695763739	-2.776562622
